gameid,Bluetopgp,Bluetopwr,Bluetopkda,result,Redtopgp,Redtopwr,Redtopkda,Bluejngp,Bluejngwr,Bluejngkda,Redjnggp,Redjngwr,Redjngkda,Bluemidgp,Bluemidwr,Bluemidkda,Redmidgp,Redmidwr,Redmidkda,Bluebotgp,Bluebotwr,Bluebotkda,Redbotgp,Redbotwr,Redbotkda,Bluesupgp,Bluesupwr,Bluesupkda,Redsupgp,Redsupwr,Redsupkda
LOLTMNT02_68530,1.0,0.0,0.6,0.0,2.0,1.0,2.0,1.0,0.0,0.2,3.0,1.0,0.33,1.0,0.0,0.4,2.0,1.0,6.5,1.0,0.0,0.6,2.0,1.0,4.5,1.0,0.0,0.6,3.0,1.0,2.0
LOLTMNT02_69557,6.0,1.0,1.5,1.0,4.0,0.0,1.67,3.0,1.0,3.0,2.0,0.5,6.0,14.0,0.71,2.0,2.0,0.5,8.0,5.0,1.0,1.0,7.0,0.43,3.0,5.0,1.0,0.0,5.0,0.6,2.0
LOLTMNT02_68560,2.0,1.0,0.0,1.0,4.0,0.75,0.6,12.0,0.42,1.0,5.0,0.8,1.0,4.0,0.25,0.5,4.0,0.75,4.0,15.0,0.53,0.75,1.0,0.0,3.0,12.0,0.58,0.0,2.0,0.5,0.5
10943-10943_game_1,2.0,1.0,2.0,1.0,8.0,0.38,2.0,2.0,0.5,6.0,11.0,0.64,5.0,5.0,0.6,10.0,1.0,0.0,1.0,5.0,0.6,1.0,10.0,0.6,6.0,4.0,0.75,0.0,8.0,0.38,1.0
LOLTMNT02_69562,14.0,0.93,0.5,1.0,4.0,0.0,0.0,11.0,0.73,2.0,12.0,0.42,1.0,9.0,0.78,2.0,4.0,0.25,0.5,9.0,0.78,2.5,6.0,0.33,1.5,2.0,0.5,0.5,5.0,0.2,0.0
LOLTMNT01_81302,3.0,0.67,0.75,1.0,1.0,0.0,0.33,2.0,0.5,5.0,8.0,0.88,1.5,9.0,0.67,0.0,2.0,0.0,1.0,2.0,1.0,2.0,5.0,0.6,0.25,2.0,1.0,1.0,5.0,0.4,0.2
10948-10948_game_1,7.0,0.57,0.5,0.0,4.0,0.5,1.0,5.0,0.2,0.0,7.0,0.86,0.25,8.0,0.62,1.0,4.0,0.75,2.0,12.0,0.58,1.67,3.0,0.67,10.0,1.0,0.0,0.0,3.0,0.67,0.0
10943-10943_game_2,4.0,0.5,4.0,0.0,4.0,0.5,1.0,3.0,0.33,0.83,4.0,0.75,1.25,4.0,0.5,3.5,4.0,0.5,5.0,5.0,0.6,3.0,4.0,0.75,4.0,11.0,0.73,0.33,6.0,0.67,0.5
LOLTMNT02_69563,3.0,1.0,0.0,1.0,2.0,0.0,4.0,12.0,0.42,1.0,6.0,0.67,1.0,5.0,0.6,5.0,14.0,0.71,2.0,15.0,0.53,0.75,7.0,0.86,5.0,12.0,0.58,0.0,7.0,0.57,0.0
LOLTMNT01_81306,5.0,0.8,0.17,1.0,9.0,0.78,3.0,4.0,0.5,4.0,5.0,0.4,2.5,7.0,0.57,4.0,2.0,0.0,1.0,1.0,1.0,1.4,3.0,0.0,0.17,2.0,1.0,1.0,2.0,0.5,0.33
10943-10943_game_3,2.0,0.0,0.0,0.0,2.0,0.5,5.0,3.0,0.33,1.33,4.0,0.75,3.0,5.0,0.6,0.67,6.0,0.5,0.75,7.0,0.57,7.0,8.0,0.75,0.25,5.0,0.6,0.0,10.0,0.6,0.0
10948-10948_game_2,7.0,0.57,0.5,0.0,16.0,0.56,1.0,5.0,0.2,0.0,7.0,0.86,0.25,8.0,0.62,1.0,6.0,0.83,3.0,8.0,0.5,4.0,8.0,0.5,4.0,3.0,0.67,0.0,1.0,1.0,2.0
